States,abb,latitude,longitude,name,Total_Cases,Confirmed_Cases,Probable_Cases,Cases_Last_7Days,Case_Rate_per_100000,Total_Deaths,Confirmed_Deaths,Probable_Deaths,Deaths_Last_7Days,Death_Rate_per_100000,7Day_CaseRate_ per_100000,7Day_DeathRate_per_100000
Alaska,AK,63.588753,-154.493062,Alaska,58645,0,0,861,8017,306,null,null,4,41,117.7,0.6
Alabama,AL,32.318231,-86.902298,Alabama,511460,398612,112848,7787,10431,10436,8226,2210,109,212,158.8,2.2
Arkansas,AR,35.20105,-91.831833,Arkansas,328655,0,0,1712,10890,5539,null,null,65,183,56.7,2.2
American Samoa,,14.271,-170.1322,,4,0,0,0,7,0,null,null,0,0,0,0
Arizona,AZ,34.048928,-111.093731,Arizona,836253,777842,58411,3510,11489,16745,14817,1928,192,230,48.2,2.6
California,CA,36.778261,-119.417932,California,3545278,0,0,18943,8973,56118,null,null,883,142,47.9,2.2
Colorado,CO,39.550051,-105.782067,Colorado,450630,423684,26946,6662,7825,6073,5343,730,35,105,115.7,0.6
Connecticut,CT,41.603221,-73.087749,Connecticut,296691,275540,21151,6114,8322,7832,6443,1389,67,219,171.5,1.9
District of Columbia,DC,38.905985,-77.033418,District of Columbia,43229,0,0,718,6125,1050,null,null,9,148,101.7,1.3
Delaware,DE,38.910832,-75.52767,Delaware,92287,87125,5162,1906,9477,1529,1392,137,22,157,195.7,2.3
Florida,FL,27.664827,-81.515754,Florida,1971271,0,0,30891,9178,32742,null,null,487,152,143.8,2.3
Federated States of Micronesia,,7.4256,-150.5508,,1,1,0,0,1,0,null,null,0,0,0,0
Georgia,GA,32.157435,-82.907123,Georgia,1045638,843141,202497,11852,9848,18530,16145,2385,315,174,111.6,3
Guam,,13.4443,-144.7937,,7780,0,0,7,4693,134,null,null,0,80,4.2,0
Hawaii,HI,19.898682,-155.665857,Hawaii,27874,0,0,490,1969,451,null,null,3,31,34.6,0.2
Iowa,IA,41.878003,-93.097702,Iowa,345710,0,0,2934,10957,5675,null,null,34,179,93,1.1
Idaho,ID,44.068202,-114.742041,Idaho,177420,142852,34568,2184,9928,1941,1694,247,31,108,122.2,1.7
Illinois,IL,40.633125,-89.398528,Illinois,1221863,1221863,0,12532,9642,23357,21081,2276,151,184,98.9,1.2
Indiana,IN,40.551217,-85.602364,Indiana,677905,0,0,5351,10070,12946,12536,410,90,192,79.5,1.3
Kansas,KS,39.011902,-98.484246,Kansas,299510,242779,56731,1762,10281,4842,null,null,18,166,60.5,0.6
Kentucky,KY,37.839333,-84.270018,Kentucky,420828,321166,99662,4613,9419,5738,5200,538,756,128,103.3,16.9
Louisiana,LA,31.244823,-92.145024,Louisiana,439737,0,0,2344,9459,9988,9199,789,104,214,50.4,2.2
Massachusetts,MA,42.407211,-71.382437,Massachusetts,589476,579580,9896,10964,8552,16739,16531,208,220,242,159.1,3.2
Maryland,MD,39.045755,-76.641271,Maryland,400705,0,0,6647,6628,8184,7999,185,129,135,110,2.1
Maine,ME,45.253783,-69.445469,Maine,48643,37559,11084,1444,3619,729,706,23,4,54,107.4,0.3
Michigan,MI,44.314844,-85.602364,Michigan,691070,624811,66259,20982,6920,16906,15897,1009,137,169,210.1,1.4
Minnesota,MN,46.729553,-94.6859,Minnesota,505224,0,0,7832,8958,6850,6412,438,36,121,138.9,0.6
Missouri,MO,37.964253,-91.831833,Missouri,570876,0,0,4109,9302,8374,null,null,64,136,67,1
Northern Mariana Islands,,15.0979,-145.6739,,157,157,0,3,0,2,2,0,0,3,0,0
Mississippi,MS,32.354668,-89.398528,Mississippi,302932,186450,116482,2051,10179,6956,4830,2126,53,233,68.9,1.8
Montana,MT,46.879682,-110.362566,Montana,103060,96083,6977,1300,9643,1414,1414,0,22,132,121.6,2.1
North Carolina,NC,35.759573,-79.0193,North Carolina,895263,776091,119172,12548,8536,11820,10439,1381,129,112,119.6,1.2
North Dakota,ND,47.551493,-101.002012,North Dakota,101701,95764,5937,700,13346,1461,null,null,4,191,91.9,0.5
Nebraska,NE,41.492537,-99.901813,Nebraska,206571,0,0,1818,10679,2135,null,null,8,110,94,0.4
New Hampshire,NH,43.193852,-71.572395,New Hampshire,80543,0,0,1928,5924,1217,null,null,18,89,141.8,1.3
New Jersey,NJ,40.058324,-74.405661,New Jersey,865886,764990,100896,27861,9749,24174,21659,2515,271,272,313.7,3.1
New Mexico,NM,34.97273,-105.032363,New Mexico,189731,0,0,1420,9048,3889,null,null,37,185,67.7,1.8
Nevada,NV,38.80261,-116.419389,Nevada,301178,0,0,1891,9778,5172,null,null,54,167,61.4,1.8
New York,NY,43.299428,-74.217933,New York,988742,0,0,24563,8944,18577,null,null,163,168,222.2,1.5
New York City,,40.7128,-74.006,,802963,670082,132881,20187,9560,30688,25650,5038,371,365,240.4,4.4
Ohio,OH,40.417287,-82.907123,Ohio,999750,850351,149399,10559,8553,18347,18347,0,311,156,90.3,2.7
Oklahoma,OK,35.007752,-97.092877,Oklahoma,435286,344761,90525,2493,11000,4850,4242,608,62,122,63,1.6
Oregon,OR,43.804133,-120.554201,Oregon,161531,161531,0,1914,3830,2363,2363,0,41,56,45.4,1
Pennsylvania,PA,41.203322,-77.194525,Pennsylvania,986857,843135,143722,20647,7709,24788,null,null,202,193,161.3,1.6
Puerto Rico,PR,18.220833,-66.590149,Puerto Rico,104516,95967,8549,1521,3273,2096,1783,313,16,65,47.6,0.5
Palau,,7.515,-134.5825,,0,0,0,0,0,0,null,null,0,0,0,0
Rhode Island,RI,41.580095,-71.477429,Rhode Island,133039,0,0,2537,12558,2595,null,null,28,244,239.5,2.6
Republic of Marshall Islands,,7.1315,-171.1845,,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,SC,33.836081,-81.163725,South Carolina,540460,459129,81331,5897,10497,9024,null,null,97,175,114.5,1.9
South Dakota,SD,43.969515,-99.901813,South Dakota,115867,0,0,1244,13097,1923,1567,356,11,217,140.6,1.2
Tennessee,TN,35.517491,-86.580447,Tennessee,800202,665677,134525,8213,11717,11713,9414,2299,86,171,120.3,1.3
Texas,TX,31.968599,-99.901813,Texas,2745161,0,0,26778,9467,46413,null,null,870,160,92.4,3
Utah,UT,39.32098,-111.093731,Utah,381629,381629,0,3250,11904,2062,2004,58,35,64,101.4,1.1
Virginia,VA,37.431573,-78.656894,Virginia,605967,475385,130582,10102,7099,10127,8484,1643,67,118,118.4,0.8
Virgin Islands,,18.3358,-64.8963,,2858,0,0,91,2730,25,null,null,0,23,86.9,0
Vermont,VT,44.558803,-72.577841,Vermont,17740,0,0,850,2843,219,null,null,5,35,136.2,0.8
Washington,WA,47.751074,-120.740139,Washington,355412,0,0,5351,4667,5174,null,null,51,67,70.3,0.7
Wisconsin,WI,43.78444,-88.787868,Wisconsin,629407,572432,56975,4048,10810,7240,6576,664,64,124,69.5,1.1
West Virginia,WV,38.597626,-80.454903,West Virginia,137826,109643,28183,2358,7691,2606,null,null,76,145,131.6,4.2
Wyoming,WY,43.075968,-107.290284,Wyoming,55581,47069,8512,418,9604,693,693,0,2,119,72.2,0.4
